,Name,Club,Wage,Attack,Handling_Passing,Physical,Defense,Mental,Goal Keeping
2823,A. Miranchuk,Atalanta,46.0,621.0,392.0,505.0,136.0,230.0,52.0
2824,S. Mallan,Yeni Malatyaspor,5.0,581.0,346.0,492.0,238.0,195.0,40.0
2825,P. Burner,Nîmes Olympique,5.0,500.0,326.0,542.0,266.0,189.0,59.0
2826,15 T. Henry,0,0.0,649.0,389.0,471.0,134.0,0.0,49.0
2827,19 G. Pinzi,Padova,2.0,552.0,331.0,469.0,282.0,196.0,46.0
2828,L. Geertruida,Feyenoord,8.0,442.0,350.0,536.0,291.0,197.0,58.0
2829,L. Berry,Luton Town,6.0,540.0,343.0,505.0,240.0,200.0,61.0
2830,A. Potuk,Çaykur Rizespor,9.0,540.0,353.0,520.0,222.0,208.0,49.0
2831,F. Ballo-Touré,AC Milan,20.0,495.0,343.0,518.0,277.0,192.0,54.0
2832,B. van Hintum,FC Groningen,6.0,584.0,328.0,446.0,280.0,190.0,50.0
2833,K. Antonsen,Tromsø IL,2.0,490.0,320.0,564.0,271.0,183.0,47.0
2834,J. Timber,Ajax,10.0,423.0,356.0,552.0,296.0,210.0,48.0
2835,T. Cognat,Servette FC,7.0,505.0,350.0,538.0,256.0,187.0,48.0
2836,Álex Centelles,Unión Deportiva Almería,8.0,504.0,347.0,491.0,282.0,210.0,53.0
2837,21 E. Schetino,0,0.0,449.0,305.0,524.0,327.0,194.0,70.0
2838,D. Janošek,FC Viktoria Plzeň,500.0,539.0,341.0,501.0,266.0,194.0,50.0
2839,N. Bustos,Girona FC,71.0,615.0,343.0,539.0,141.0,227.0,61.0
2840,D. Cabrera,Gallos Blancos de Querétaro,5.0,572.0,351.0,445.0,260.0,191.0,63.0
2841,J. Yueill,San Jose Earthquakes,5.0,550.0,361.0,460.0,257.0,208.0,57.0
2842,Josué,Legia Warszawa,6.0,632.0,365.0,391.0,245.0,203.0,66.0
2843,A. Danjuma,Villarreal CF,28.0,576.0,363.0,524.0,186.0,216.0,55.0
2844,M. Luongo,Sheffield Wednesday,4.0,497.0,334.0,511.0,283.0,196.0,57.0
2845,21 F. Monzón,Atlético Tucumán,6.0,550.0,329.0,490.0,265.0,179.0,61.0
2846,T. De Vincenti,APOEL Nicosia FC,550.0,613.0,360.0,468.0,209.0,187.0,57.0
2847,V. Mogoș,Crotone,7.0,545.0,306.0,514.0,265.0,197.0,55.0
2848,21 S. Cristóforo,Girona FC,9.0,490.0,360.0,469.0,298.0,198.0,64.0
2849,W. Janssen,FC Utrecht,13.0,575.0,343.0,413.0,293.0,206.0,54.0
2850,D. Muñoz,KRC Genk,15.0,443.0,353.0,525.0,308.0,206.0,46.0
2851,Luis Muñoz,Málaga CF,6.0,520.0,351.0,468.0,283.0,191.0,57.0
2852,M. Linnes,Molde FK,6.0,485.0,338.0,535.0,266.0,198.0,56.0
2853,O. Čelůstka,AC Sparta Praha,1.0,507.0,327.0,475.0,303.0,206.0,58.0
2854,R. Laryea,Toronto FC,5.0,496.0,335.0,537.0,265.0,205.0,49.0
2855,Tiago Esgaio,FC Arouca,8.0,521.0,325.0,496.0,291.0,201.0,47.0
2856,David López,RCD Espanyol de Barcelona,19.0,520.0,353.0,436.0,308.0,202.0,54.0
2857,19 A. Cole,Derby County,15.0,518.0,352.0,477.0,282.0,210.0,47.0
2858,21 Miranda,Jiangsu FC,18.0,452.0,361.0,482.0,325.0,205.0,53.0
2859,J. Corona,Houston Dynamo,4.0,548.0,339.0,487.0,266.0,188.0,53.0
2860,F. Gulbrandsen,İstanbul Başakşehir FK,28.0,585.0,320.0,585.0,157.0,205.0,52.0
2861,Pietrson Mendes,Bahia,10.0,633.0,354.0,490.0,187.0,211.0,53.0
2862,G. Clichy,Servette FC,13.0,477.0,357.0,511.0,277.0,212.0,47.0
2863,E. Larsson,Malmö FF,4.0,519.0,318.0,529.0,282.0,180.0,50.0
2864,Pablo Maffeo,RCD Mallorca,20.0,465.0,345.0,530.0,281.0,192.0,58.0
2865,21 S. Missiroli,SPAL,4.0,583.0,364.0,391.0,271.0,225.0,58.0
2866,S. Hefti,BSC Young Boys,12.0,494.0,320.0,539.0,287.0,187.0,49.0
2867,Dalbert,Cagliari,47.0,527.0,343.0,500.0,276.0,197.0,43.0
2868,S. Adegbenro,IFK Norrköping,6.0,571.0,324.0,597.0,157.0,208.0,55.0
2869,21 A. Hunt,Hamburger SV,10.0,629.0,367.0,450.0,185.0,207.0,65.0
2870,19 B. Sako,Crystal Palace,30.0,639.0,335.0,491.0,183.0,208.0,58.0
2871,P. Estupiñán,Villarreal CF,29.0,459.0,340.0,532.0,308.0,185.0,49.0
2872,J. Lolley,Nottingham Forest,31.0,600.0,342.0,500.0,194.0,195.0,64.0
2873,D. Davis,Shrewsbury Town,3.0,533.0,323.0,523.0,277.0,184.0,40.0
2874,J. Sýkora,FC Viktoria Plzeň,500.0,578.0,320.0,515.0,250.0,185.0,45.0
2875,H. Lansbury,Luton Town,5.0,584.0,344.0,428.0,269.0,202.0,69.0
2876,19 M. Lehmann,1. FC Köln,8.0,593.0,332.0,410.0,283.0,195.0,66.0
2877,V. Hoff,Rosenborg BK,4.0,491.0,343.0,526.0,253.0,190.0,68.0
2878,Y. Stark,SG Dynamo Dresden,6.0,576.0,319.0,476.0,276.0,195.0,44.0
2879,H. Belkebla,Stade Brestois 29,17.0,492.0,369.0,457.0,293.0,201.0,67.0
2880,A. Velasco,Club Atlético Independiente,4.0,558.0,356.0,505.0,228.0,225.0,44.0
2881,C. Styles,Barnsley,17.0,507.0,339.0,517.0,273.0,196.0,49.0
2882,F. Ribéry,US Salernitana 1919,41.0,654.0,424.0,441.0,135.0,229.0,47.0
2883,19 C. Chantôme,Red Star FC,3.0,583.0,348.0,432.0,261.0,200.0,58.0
2884,G. İnler,Adana Demirspor,7.0,627.0,360.0,388.0,268.0,197.0,46.0
2885,S. Benrahma,West Ham United,59.0,616.0,379.0,492.0,147.0,222.0,53.0
2886,Galeno,SC Braga,14.0,583.0,355.0,551.0,157.0,238.0,58.0
2887,M. Ruiz,Club Tijuana,12.0,566.0,369.0,483.0,224.0,207.0,49.0
2888,I. Ilić,Hellas Verona,14.0,538.0,377.0,468.0,259.0,191.0,53.0
2889,L. Nmecha,VfL Wolfsburg,43.0,591.0,351.0,537.0,167.0,216.0,45.0
2890,Breno Bemposta,Ceará Sporting Club,7.0,580.0,342.0,434.0,254.0,201.0,63.0
2891,A. Diamanti,Western United FC,3.0,662.0,394.0,440.0,150.0,219.0,56.0
2892,M. Urruti,Houston Dynamo,4.0,571.0,340.0,498.0,237.0,201.0,53.0
2893,A. Palaversa,KV Kortrijk,37.0,546.0,353.0,440.0,281.0,214.0,53.0
2894,C. Führich,VfB Stuttgart,19.0,554.0,351.0,520.0,215.0,202.0,43.0
2895,F. Acerbi,Lazio,75.0,508.0,356.0,435.0,335.0,190.0,53.0
2896,Dentinho,Shakhtar Donetsk,750.0,575.0,351.0,508.0,201.0,209.0,62.0
2897,L. Waldschmidt,VfL Wolfsburg,57.0,655.0,366.0,503.0,109.0,229.0,56.0
2898,B. Emir,Göztepe SK,8.0,536.0,329.0,476.0,279.0,191.0,62.0
2899,B. Pearson,AFC Bournemouth,30.0,421.0,348.0,537.0,316.0,194.0,59.0
2900,Ximo Navarro,Deportivo Alavés,19.0,477.0,330.0,523.0,292.0,200.0,55.0
2901,K. Lawrence,Toronto FC,6.0,498.0,303.0,555.0,278.0,185.0,52.0
2902,A. Skúlason,IFK Norrköping,4.0,558.0,336.0,478.0,266.0,189.0,49.0
2903,21 M. Farouk,0,0.0,557.0,340.0,508.0,237.0,194.0,52.0
2904,J. Zimmer,1. FC Kaiserslautern,3.0,494.0,314.0,565.0,259.0,189.0,61.0
2905,Zhang Linpeng,Guangzhou FC,14.0,486.0,331.0,533.0,283.0,196.0,49.0
2906,21 I. Chochev,0,0.0,585.0,354.0,437.0,269.0,179.0,56.0
2907,G. Escobar,UD Ibiza,6.0,451.0,337.0,539.0,294.0,200.0,55.0
2908,M. Simon,FC Nantes,23.0,571.0,352.0,598.0,134.0,214.0,54.0
2909,O. Boumal,Newcastle Jets,3.0,578.0,343.0,534.0,177.0,191.0,58.0
2910,K. Leerdam,Inter Miami CF,4.0,511.0,333.0,529.0,264.0,196.0,49.0
2911,R. Deaconu,Gaz Metan Mediaş,4.0,600.0,350.0,491.0,211.0,191.0,50.0
2912,J. Briand,FC Girondins de Bordeaux,15.0,631.0,356.0,461.0,198.0,225.0,41.0
2913,Zapater,Real Zaragoza,3.0,604.0,338.0,425.0,266.0,183.0,55.0
2914,21 M. Vešović,Legia Warszawa,7.0,489.0,339.0,537.0,269.0,203.0,49.0
2915,N. Kreuzer,Hallescher FC,1.0,536.0,302.0,532.0,259.0,181.0,64.0
2916,Nacho Fernández,Real Madrid CF,140.0,438.0,332.0,537.0,325.0,190.0,51.0
2917,Aihen Muñoz,Real Sociedad,20.0,477.0,353.0,500.0,271.0,217.0,59.0
2918,S. Grandsir,LA Galaxy,5.0,546.0,345.0,563.0,205.0,189.0,48.0
2919,Y. Barbet,Queens Park Rangers,12.0,547.0,331.0,466.0,285.0,187.0,57.0
2920,21 J. Fernández,Club Atlético Central Córdoba,7.0,599.0,332.0,497.0,212.0,207.0,56.0
2921,E. Ndicka,Eintracht Frankfurt,19.0,454.0,375.0,483.0,302.0,221.0,44.0
2922,D. Lainez,Real Betis Balompié,15.0,557.0,364.0,507.0,205.0,212.0,57.0
2923,R. Lundqvist,Panathinaikos FC,500.0,603.0,347.0,474.0,229.0,195.0,42.0
2924,P. McGowan,Dundee FC,2.0,559.0,328.0,527.0,208.0,192.0,73.0
2925,Yuri Ribeiro,Legia Warszawa,5.0,499.0,342.0,513.0,266.0,208.0,57.0
2926,B. Gomis,Al Hilal,38.0,675.0,354.0,452.0,157.0,243.0,56.0
2927,J. Newell,Hibernian,5.0,572.0,357.0,469.0,240.0,197.0,55.0
2928,Bruno Gaspar,Vancouver Whitecaps FC,6.0,528.0,331.0,516.0,264.0,197.0,44.0
2929,G. Bruno,KAA Gent,21.0,625.0,345.0,509.0,157.0,213.0,59.0
2930,L. Travis,Blackburn Rovers,24.0,494.0,345.0,499.0,289.0,198.0,50.0
2931,S. Larsson,Dalian Professional Football Club,18.0,606.0,381.0,497.0,166.0,212.0,58.0
2932,M. Morishige,FC Tokyo,7.0,555.0,335.0,445.0,281.0,193.0,62.0
2933,M. Dabbur,TSG Hoffenheim,36.0,629.0,357.0,529.0,122.0,233.0,61.0
2934,C. Fassnacht,BSC Young Boys,17.0,596.0,360.0,549.0,135.0,218.0,56.0
2935,M. Ruben,Rosario Central,17.0,615.0,334.0,514.0,178.0,226.0,47.0
2936,J. Sánchez,Club América,33.0,456.0,322.0,576.0,282.0,186.0,51.0
2937,A. Ciranni,SV Zulte Waregem,8.0,569.0,320.0,483.0,269.0,186.0,49.0
2938,G. Töre,Beşiktaş JK,28.0,604.0,358.0,512.0,186.0,184.0,51.0
2939,H. Boumous,ATK Mohun Bagan FC,2.0,571.0,347.0,533.0,201.0,200.0,61.0
2940,L. Ayling,Leeds United,63.0,479.0,339.0,496.0,299.0,215.0,48.0
2941,Eugeni,FC Arouca,6.0,619.0,368.0,443.0,215.0,205.0,40.0
2942,19 Imanol García,Gimnàstic de Tarragona,4.0,557.0,326.0,471.0,272.0,198.0,54.0
2943,K. Taylor,Ajax,4.0,597.0,359.0,450.0,246.0,193.0,44.0
2944,F. Caputo,U.C. Sampdoria,38.0,623.0,347.0,551.0,99.0,236.0,53.0
2945,M. Ihattaren,U.C. Sampdoria,33.0,617.0,392.0,483.0,166.0,207.0,46.0
2946,C. Buchtmann,FC St. Pauli,6.0,577.0,340.0,487.0,235.0,191.0,52.0
2947,F. Martínez,Club Tijuana,23.0,614.0,342.0,541.0,156.0,214.0,56.0
2948,21 José Rodríguez,Málaga CF,6.0,560.0,350.0,442.0,274.0,193.0,53.0
2949,P. González,Deportivo Toluca,15.0,556.0,363.0,438.0,272.0,192.0,62.0
2950,B. Rahman,Reading,66.0,478.0,343.0,514.0,288.0,205.0,50.0
2951,Thierry Correia,Valencia CF,22.0,484.0,330.0,542.0,274.0,205.0,44.0
2952,Javi García,Boavista FC,12.0,534.0,349.0,442.0,288.0,211.0,58.0
2953,20 Hwang In beom,Vancouver Whitecaps FC,6.0,562.0,364.0,495.0,217.0,210.0,47.0
2954,18 Fernando Navarro,Deportivo de La Coruña,15.0,525.0,323.0,455.0,310.0,218.0,45.0
2955,I. Louza,Watford,40.0,567.0,386.0,422.0,260.0,218.0,39.0
2956,Gorosabel,Real Sociedad,25.0,467.0,356.0,509.0,285.0,203.0,49.0
2957,19 R. van Persie,Feyenoord,20.0,717.0,394.0,407.0,125.0,249.0,39.0
2958,19 D. Fletcher,Stoke City,20.0,604.0,345.0,389.0,287.0,197.0,52.0
2959,N. Moumi Ngamaleu,BSC Young Boys,16.0,586.0,346.0,567.0,150.0,206.0,53.0
2960,N. Stark,Hertha BSC,37.0,463.0,349.0,499.0,304.0,193.0,60.0
2961,21 Soares,CFR Cluj,11.0,497.0,335.0,491.0,291.0,187.0,65.0
2962,J. Balkovec,Fatih Karagümrük S.K.,10.0,549.0,306.0,488.0,278.0,188.0,55.0
2963,20 Rafael Costa,Damac FC,16.0,615.0,369.0,442.0,198.0,218.0,60.0
2964,S. Inagaki,Nagoya Grampus,3.0,554.0,338.0,482.0,250.0,198.0,51.0
2965,M. Pérez García,Gimnasia y Esgrima La Plata,11.0,584.0,369.0,477.0,207.0,203.0,63.0
2966,V. Le Goff,FC Lorient,15.0,494.0,341.0,513.0,274.0,204.0,48.0
2967,L. Vigen,SV Zulte Waregem,8.0,496.0,346.0,521.0,249.0,203.0,59.0
2968,C. Michelin,AEK Athens,950.0,493.0,346.0,491.0,281.0,197.0,59.0
2969,Y. El Jebli,Al Batin,13.0,616.0,374.0,484.0,163.0,204.0,53.0
2970,Manu García,Deportivo Alavés,8.0,621.0,367.0,483.0,164.0,210.0,65.0
2971,Kaíqundo Calado,São Paulo,29.0,474.0,331.0,511.0,285.0,205.0,55.0
2972,N. Domingo,Club Atlético Banfield,9.0,528.0,346.0,448.0,291.0,200.0,62.0
2973,21 K. Hyland,Al Batin,9.0,551.0,334.0,475.0,273.0,197.0,49.0
2974,E. Dennis,Watford,41.0,585.0,326.0,572.0,153.0,213.0,55.0
2975,14 C. Chivu,Inter,50.0,561.0,332.0,435.0,304.0,0.0,46.0
2976,M. Valbuena,Olympiacos CFP,1.0,662.0,393.0,438.0,146.0,225.0,48.0
2977,M. Dal Hende,SønderjyskE,6.0,529.0,308.0,536.0,266.0,188.0,46.0
2978,19 Toquero,Real Zaragoza,5.0,578.0,317.0,488.0,237.0,205.0,50.0
2979,Dídac Vilà,RCD Espanyol de Barcelona,14.0,503.0,336.0,486.0,295.0,209.0,44.0
2980,Renato Augusto,Shimizu S-Pulse,2.0,539.0,320.0,479.0,279.0,186.0,61.0
2981,M. Leckie,Melbourne City FC,10.0,575.0,332.0,531.0,205.0,206.0,42.0
2982,M. Kean,Juventus,69.0,603.0,321.0,555.0,154.0,227.0,47.0
2983,A. Al Malki,Al Ittihad,17.0,486.0,346.0,512.0,289.0,181.0,50.0
2984,A. Diaby,Sporting CP,13.0,596.0,335.0,551.0,158.0,226.0,50.0
2985,Borja Sánchez,Real Oviedo,9.0,615.0,363.0,500.0,170.0,213.0,49.0
2986,V. Manceau,Angers SCO,19.0,487.0,359.0,464.0,298.0,203.0,63.0
2987,N. Theuerkauf,1. FC Heidenheim 1846,14.0,545.0,314.0,470.0,294.0,192.0,50.0
2988,E. Kayembe,KAS Eupen,5.0,526.0,334.0,513.0,271.0,187.0,46.0
2989,Óscar,Sevilla FC,21.0,622.0,385.0,430.0,199.0,219.0,46.0
2990,San Emeterio,Real Valladolid CF,7.0,517.0,315.0,492.0,311.0,192.0,46.0
2991,15 Ronaldinho,Gallos Blancos de Querétaro,45.0,690.0,421.0,411.0,138.0,0.0,54.0
2992,Shin Hyung Min,Ulsan Hyundai FC,3.0,595.0,324.0,458.0,253.0,198.0,52.0
2993,D. Bessa,Hellas Verona,22.0,597.0,379.0,433.0,209.0,216.0,58.0
2994,A. Hamdallah,Al Nassr,42.0,651.0,361.0,501.0,122.0,233.0,54.0
2995,Kenny Rocha Santos,KV Oostende,4.0,539.0,349.0,503.0,251.0,199.0,44.0
2996,Juan Mata,Manchester United,100.0,666.0,406.0,421.0,137.0,244.0,46.0
2997,19 M. Antenucci,SPAL,15.0,633.0,358.0,486.0,159.0,234.0,48.0
2998,20 A. De Vitis,Pisa,1.0,568.0,324.0,491.0,253.0,181.0,55.0
2999,21 J. Plata,Deportivo Toluca,16.0,611.0,339.0,552.0,137.0,210.0,61.0
3000,19 Vágner Love,Beşiktaş JK,50.0,613.0,328.0,522.0,170.0,222.0,59.0
3001,E. Pieters,Burnley,27.0,483.0,340.0,476.0,305.0,202.0,61.0
3002,R. Boateng,FC Cartagena,3.0,508.0,333.0,520.0,270.0,192.0,51.0
3003,Juli Piresinho,Bahia,9.0,576.0,291.0,483.0,308.0,168.0,41.0
3004,21 F. Roncaglia,CA Osasuna,24.0,503.0,324.0,483.0,300.0,191.0,65.0
3005,I. Coulibaly,K Beerschot VA,9.0,512.0,341.0,506.0,269.0,201.0,53.0
3006,P. Skjelbred,Rosenborg BK,7.0,511.0,355.0,462.0,295.0,211.0,44.0
3007,20 Gabriel Boschilia,AS Monaco,29.0,633.0,374.0,465.0,176.0,199.0,48.0
3008,Heitor Gesse,Clube Atlético Mineiro,21.0,539.0,312.0,477.0,274.0,207.0,61.0
3009,14 J. Zanetti,Inter,45.0,501.0,394.0,450.0,284.0,0.0,41.0
3010,Y. Makarenko,0,0.0,535.0,344.0,445.0,285.0,203.0,66.0
3011,J. Rodriguez,Burnley,33.0,635.0,352.0,486.0,140.0,227.0,63.0
3012,F. Troyansky,Club Atlas,9.0,606.0,351.0,528.0,159.0,214.0,53.0
3013,P. Förster,VfB Stuttgart,19.0,535.0,363.0,489.0,240.0,216.0,34.0
3014,J. Vázquez,Deportivo Toluca,12.0,496.0,342.0,515.0,275.0,213.0,44.0
3015,Oswaldinato,Flamengo,56.0,657.0,356.0,534.0,102.0,245.0,43.0
3016,21 J. Gómez,Club Atlético Lanús,10.0,509.0,326.0,543.0,260.0,197.0,51.0
3017,21 Claude Gonçalves,Gil Vicente FC,5.0,471.0,346.0,519.0,274.0,206.0,62.0
3018,Y. Soma,Nagoya Grampus,4.0,553.0,324.0,548.0,234.0,184.0,37.0
3019,Djaniny,Trabzonspor,25.0,601.0,359.0,544.0,143.0,221.0,53.0
3020,20 P. Verhaegh,FC Twente,5.0,523.0,341.0,472.0,286.0,201.0,52.0
3021,R. Sawyers,Stoke City,31.0,531.0,371.0,483.0,241.0,207.0,50.0
3022,T. Krauß,1. FC Nürnberg,18.0,526.0,336.0,493.0,276.0,196.0,43.0
3023,Y. Nagatomo,FC Tokyo,9.0,466.0,328.0,522.0,289.0,203.0,61.0
3024,A. Vallci,FC Red Bull Salzburg,19.0,551.0,283.0,504.0,291.0,190.0,48.0
3025,21 R. Žulj,VfL Bochum 1848,18.0,646.0,382.0,453.0,148.0,221.0,50.0
3026,C. Bassogog,Shanghai Shenhua FC,12.0,587.0,323.0,584.0,147.0,210.0,40.0
3027,T. Rogić,Celtic,36.0,595.0,370.0,435.0,221.0,218.0,59.0
3028,Filipe Soares,Moreirense FC,7.0,573.0,356.0,464.0,220.0,205.0,63.0
3029,H. Kaldırım,İstanbul Başakşehir FK,23.0,513.0,330.0,492.0,286.0,198.0,49.0
3030,21 M. Hany,0,0.0,533.0,326.0,503.0,263.0,195.0,53.0
3031,19 J. Kembo-Ekoko,Bursaspor,15.0,641.0,357.0,491.0,170.0,209.0,50.0
3032,J. Dompé,SV Zulte Waregem,8.0,622.0,340.0,507.0,192.0,204.0,50.0
3033,C. Villanueva,Club Deportivo Palestino,4.0,641.0,385.0,420.0,162.0,212.0,64.0
3034,C. Ekuban,Genoa,17.0,610.0,345.0,565.0,141.0,214.0,47.0
3035,F. Torrent,Rosario Central,12.0,489.0,316.0,551.0,283.0,188.0,45.0
3036,21 E. Isnaldo,Defensa y Justicia,12.0,561.0,346.0,514.0,216.0,221.0,50.0
3037,M. Osuna,Club América,11.0,567.0,321.0,495.0,259.0,176.0,57.0
3038,A. Caci,RC Strasbourg Alsace,16.0,505.0,336.0,498.0,279.0,203.0,47.0
3039,19 M. Brighi,Empoli,6.0,592.0,351.0,431.0,251.0,201.0,51.0
3040,R. Quioto,Club de Foot Montréal,9.0,627.0,344.0,552.0,138.0,212.0,51.0
3041,S. Nzonzi,Roma,47.0,518.0,368.0,396.0,311.0,214.0,68.0
3042,Sin Se Gye,Gangwon FC,2.0,505.0,320.0,542.0,257.0,195.0,52.0
3043,E. Valentini,1. FC Nürnberg,5.0,551.0,311.0,503.0,266.0,191.0,53.0
3044,21 A. Baby,KAS Eupen,6.0,567.0,313.0,515.0,253.0,213.0,43.0
3045,J. Lens,Beşiktaş JK,25.0,625.0,345.0,517.0,145.0,208.0,67.0
3046,W. Morelo,Club Atlético Colón,10.0,617.0,327.0,522.0,174.0,217.0,55.0
3047,A. Abdi,Stade Malherbe Caen,4.0,515.0,330.0,522.0,248.0,210.0,58.0
3048,S. D'Almeida,Valenciennes FC,2.0,453.0,333.0,564.0,275.0,193.0,53.0
3049,18 L. Donovan,Club León,20.0,642.0,380.0,438.0,179.0,220.0,47.0
3050,G. Kerk,FC Lokomotiv Moscow,43.0,557.0,342.0,586.0,128.0,220.0,68.0
3051,17 F. Totti,Roma,60.0,721.0,439.0,359.0,127.0,244.0,53.0
3052,M. Bíttolo,Newell's Old Boys,13.0,480.0,350.0,504.0,281.0,198.0,60.0
3053,Barragán,Elche CF,15.0,530.0,323.0,484.0,290.0,196.0,43.0
3054,Jozabed,Málaga CF,7.0,576.0,364.0,446.0,257.0,208.0,48.0
3055,21 F. Mubele,Toulouse Football Club,6.0,580.0,330.0,538.0,191.0,217.0,51.0
3056,Kim Sung Joon,Ulsan Hyundai FC,4.0,549.0,330.0,501.0,229.0,191.0,62.0
3057,M. Longstaff,Aberdeen,18.0,546.0,360.0,463.0,256.0,211.0,53.0
3058,D. Odoi,Fulham,26.0,503.0,334.0,512.0,275.0,207.0,53.0
3059,M. de Leeuw,FC Groningen,7.0,589.0,329.0,460.0,236.0,214.0,55.0
3060,E. Hysaj,Lazio,48.0,448.0,346.0,507.0,309.0,210.0,52.0
3061,Borja Iglesias,Real Betis Balompié,34.0,606.0,362.0,494.0,148.0,239.0,71.0
3062,Carlos Júnior,Al Shabab,30.0,590.0,350.0,538.0,148.0,216.0,50.0
3063,13 Deco,Fluminense,20.0,655.0,413.0,388.0,185.0,0.0,54.0
3064,G. Simeone,Hellas Verona,30.0,608.0,332.0,523.0,149.0,230.0,61.0
3065,L. Fernández,Tigres U.A.N.L.,33.0,601.0,370.0,487.0,178.0,205.0,55.0
3066,G. Higuaín,Inter Miami CF,14.0,692.0,373.0,461.0,108.0,250.0,39.0
3067,A. Grünwald,FK Austria Wien,7.0,611.0,340.0,454.0,222.0,201.0,60.0
3068,Kim Do Hyeok,Incheon United FC,3.0,529.0,335.0,508.0,248.0,203.0,67.0
3069,A. Merkel,Gazişehir Gaziantep F.K.,7.0,585.0,351.0,464.0,241.0,196.0,50.0
3070,21 Hélder Barbosa,Atakaş Hatayspor,7.0,587.0,342.0,505.0,202.0,207.0,65.0
3071,M. Aramu,Venezia FC,15.0,582.0,361.0,484.0,198.0,212.0,48.0
3072,M. Djenepo,Southampton,37.0,573.0,353.0,553.0,165.0,209.0,54.0
3073,A. Dreyer,FC Midtjylland,19.0,594.0,348.0,545.0,157.0,211.0,49.0
3074,D. Dąbrowski,Pogoń Szczecin,5.0,524.0,324.0,530.0,267.0,190.0,43.0
3075,J. Kluivert,OGC Nice,39.0,608.0,357.0,529.0,147.0,213.0,44.0
3076,A. Yiadom,Reading,22.0,476.0,326.0,535.0,292.0,201.0,42.0
3077,A. Benali,Crotone,9.0,535.0,374.0,533.0,211.0,215.0,43.0
3078,21 Kim Shin Wook,Shanghai Shenhua FC,19.0,622.0,327.0,513.0,181.0,219.0,42.0
3079,18 Mauro,SC Braga,10.0,493.0,349.0,478.0,298.0,193.0,53.0
3080,A. Tinnerholm,New York City FC,7.0,463.0,335.0,506.0,286.0,215.0,64.0
3081,Júnior Urso,Orlando City Soccer Club,6.0,485.0,352.0,496.0,285.0,202.0,55.0
3082,J. Bostock,Doncaster Rovers,5.0,554.0,333.0,469.0,264.0,195.0,64.0
3083,C. Verdonk,N.E.C. Nijmegen,3.0,548.0,333.0,485.0,273.0,181.0,52.0
3084,M. Nakamba,Aston Villa,49.0,426.0,347.0,529.0,309.0,192.0,57.0
3085,E. Rexhbeçaj,VfL Bochum 1848,32.0,519.0,368.0,459.0,265.0,206.0,53.0
3086,K. Higashi,FC Tokyo,4.0,553.0,333.0,497.0,243.0,202.0,47.0
3087,J. Mauri,Sporting Kansas City,4.0,528.0,354.0,481.0,268.0,203.0,48.0
3088,L. Rodríguez,Club Tijuana,16.0,522.0,359.0,525.0,208.0,197.0,62.0
3089,A. Guédioura,Sheffield United,8.0,554.0,358.0,449.0,265.0,191.0,59.0
3090,E. Puch,Universidad Católica,11.0,543.0,355.0,559.0,183.0,214.0,47.0
3091,J. Matip,Liverpool,130.0,465.0,364.0,433.0,337.0,212.0,53.0
3092,T. Reijnders,AZ Alkmaar,4.0,532.0,348.0,515.0,234.0,204.0,48.0
3093,J. Karlström,Lech Poznań,5.0,520.0,325.0,501.0,280.0,186.0,56.0
3094,K. Ehizibue,1. FC Köln,18.0,493.0,335.0,520.0,279.0,194.0,52.0
3095,Y. Salibur,Fatih Karagümrük S.K.,10.0,606.0,344.0,537.0,160.0,199.0,53.0
3096,Calero,RCD Espanyol de Barcelona,16.0,463.0,348.0,502.0,303.0,198.0,52.0
3097,J. Carrascal,River Plate,12.0,592.0,369.0,498.0,182.0,220.0,49.0
3098,M. Heider,VfL Osnabrück,2.0,562.0,294.0,524.0,242.0,216.0,55.0
3099,V. Janssen,CF Monterrey ,45.0,566.0,353.0,516.0,176.0,226.0,62.0
3100,Quini,Granada CF,15.0,546.0,327.0,467.0,277.0,193.0,57.0
3101,L. Fejsa,Al Ahli,32.0,514.0,336.0,442.0,316.0,193.0,64.0
3102,M. Bakker,Bayer 04 Leverkusen,25.0,486.0,337.0,512.0,283.0,196.0,49.0
3103,T. Akimoto,Urawa Red Diamonds,3.0,566.0,306.0,534.0,239.0,184.0,42.0
3104,Kangin Lee,RCD Mallorca,18.0,664.0,384.0,454.0,135.0,219.0,57.0
3105,M. Barrios,Colorado Rapids,8.0,574.0,348.0,549.0,157.0,210.0,52.0
3106,G. Mensah,FC Girondins de Bordeaux,13.0,521.0,325.0,500.0,282.0,197.0,48.0
3107,11 M. Palermo,Boca Juniors,0.0,643.0,349.0,510.0,129.0,0.0,47.0
3108,U. Emanuelson,FC Utrecht,4.0,589.0,336.0,465.0,267.0,202.0,19.0
3109,18 B. Cheyrou,Toronto FC,4.0,612.0,348.0,383.0,275.0,207.0,62.0
3110,H. Kiyotake,Cerezo Osaka,6.0,623.0,352.0,492.0,162.0,212.0,54.0
3111,Li Ang,Shanghai Port FC,7.0,582.0,303.0,491.0,259.0,178.0,52.0
3112,A. Andrade,Atlético Nacional,2.0,618.0,363.0,508.0,136.0,196.0,56.0
3113,J. Otero,Santos Laguna,18.0,607.0,348.0,573.0,126.0,208.0,59.0
3114,F. Niederlechner,FC Augsburg,25.0,604.0,343.0,504.0,178.0,228.0,60.0
3115,K. Sessa,1. FC Heidenheim 1846,9.0,519.0,357.0,514.0,243.0,190.0,55.0
